cod_origen,cod_canonico,especie_origen,especie_canonica,cientifico_origen,cientifico_canonico,genero_canonico,accion,confianza,nota
gc,gc,Gunnera chilensis,Gunnera chilensis,Gunnera chilensis,Gunnera chilensis,Gunnera,sin_cambio,alta,Sin observaciones
gm,gm,Gunnera magellanica,Gunnera magellanica,Gunnera magellanica,Gunnera magellanica,Gunnera,sin_cambio,alta,Sin observaciones
G14,G14,Gutierrezia espinosae,Gutierrezia espinosae,Gutierrezia espinosae,Gutierrezia espinosae,Gutierrezia,sin_cambio,alta,Sin observaciones
Gu,Gu,Gutierrezia gayana,Gutierrezia gayana,Gutierrezia gayana,Gutierrezia gayana,Gutierrezia,sin_cambio,alta,Sin observaciones
G17,G17,Gutierrezia neaeana,Gutierrezia neaeana,Gutierrezia neaeana,Gutierrezia neaeana,Gutierrezia,sin_cambio,alta,Sin observaciones
G15,G15,Guynesomia scoparia,Guynesomia scoparia,Guynesomia scoparia,Guynesomia scoparia,Guynesomia,sin_cambio,alta,Sin observaciones
Gl,Gl,Gymnophyton foliosum,Gymnophyton foliosum,Gymnophyton foliosum,Gymnophyton foliosum,Gymnophyton,sin_cambio,alta,Sin observaciones
Gy,Gy,Gymnophyton robustum,Gymnophyton robustum,Gymnophyton robustum,Gymnophyton robustum,Gymnophyton,sin_cambio,alta,Sin observaciones
G16,G16,Gymnophyton sp.,Gymnophyton sp.,Gymnophyton sp.,Gymnophyton sp.,Gymnophyton,sin_cambio,alta,Sin observaciones
Gz,Gz,Gypothamnium pinifolium,Gypothamnium pinifolium,Gypothamnium pinifolium,Gypothamnium pinifolium,Gypothamnium,sin_cambio,alta,Sin observaciones
Ha,Ha,Haplopappus angustifolius,Haplopappus angustifolius,Haplopappus angustifolius,Haplopappus angustifolius,Haplopappus,sin_cambio,alta,Sin observaciones
hb,hb,Haplopappus arbutoides,Haplopappus arbutoides,Haplopappus arbutoides,Haplopappus arbutoides,Haplopappus,sin_cambio,alta,Sin observaciones
Ho,Ho,Haplopappus cerberoanus,Haplopappus cerberoanus,Haplopappus cerberoanus,Haplopappus cerberoanus,Haplopappus,sin_cambio,alta,Sin observaciones
H2,H2,Haplopappus diplopappus,Haplopappus diplopappus,Haplopappus diplopappus,Haplopappus diplopappus,Haplopappus,sin_cambio,alta,Sin observaciones
Hi,Hi,Haplopappus integerrimus,Haplopappus integerrimus,Haplopappus integerrimus,Haplopappus integerrimus,Haplopappus,sin_cambio,alta,Sin observaciones
H3,H3,Haplopappus kingii,Haplopappus kingii,Haplopappus kingii,Haplopappus kingii,Haplopappus,sin_cambio,alta,Sin observaciones
H5,H5,Haplopappus linifolius,Haplopappus linifolius,Haplopappus linifolius,Haplopappus linifolius,Haplopappus,sin_cambio,alta,Sin observaciones
Hk,Hk,Haplopappus macraeanus,Haplopappus macraeanus,Haplopappus macraeanus,Haplopappus macraeanus,Haplopappus,sin_cambio,alta,Sin observaciones
hm,hm,Haplopappus macrocephalus,Haplopappus macrocephalus,Haplopappus macrocephalus,Haplopappus macrocephalus,Haplopappus,sin_cambio,alta,Sin observaciones
Uy,Uy,Haplopappus meyenii,Haplopappus meyenii,Haplopappus meyenii,Haplopappus meyenii,Haplopappus,sin_cambio,alta,Sin observaciones
Uu,Uu,Haplopappus mucronatus,Haplopappus mucronatus,Haplopappus mucronatus,Haplopappus mucronatus,Haplopappus,sin_cambio,alta,Sin observaciones
Hu,Hu,Haplopappus pulchellus,Haplopappus pulchellus,Haplopappus pulchellus,Haplopappus pulchellus,Haplopappus,sin_cambio,alta,Sin observaciones
Yt,Yt,Haplopappus rengifoanus,Haplopappus rengifoanus,Haplopappus rengifoanus,Haplopappus rengifoanus,Haplopappus,sin_cambio,alta,Sin observaciones
H9,H9,Haplopappus saxatilis,Haplopappus saxatilis,Haplopappus saxatilis,Haplopappus saxatilis,Haplopappus,sin_cambio,alta,Sin observaciones
H10,H10,Haplopappus scrobiculatus,Haplopappus scrobiculatus,Haplopappus scrobiculatus,Haplopappus scrobiculatus,Haplopappus,sin_cambio,alta,Sin observaciones
Jk,Jk,Haplopappus sp.,Haplopappus sp.,Haplopappus sp.,Haplopappus sp.,Haplopappus,sin_cambio,alta,Sin observaciones
Hc,Hc,Haplopappus uncinatus,Haplopappus uncinatus,Haplopappus uncinatus,Haplopappus uncinatus,Haplopappus,sin_cambio,alta,Sin observaciones
Hd,Hd,Haplopappus velutinus,Haplopappus velutinus,Haplopappus velutinus,Haplopappus velutinus,Haplopappus,sin_cambio,alta,Sin observaciones
ht,ht,Helenium atacamense,Helenium atacamense,Helenium atacamense,Helenium atacamense,Helenium,sin_cambio,alta,Sin observaciones
hn,hn,Helenium urmenetae,Helenium urmenetae,Helenium urmenetae,Helenium urmenetae,Helenium,sin_cambio,alta,Sin observaciones
Hx,Hx,Heliotropium chenopodiaceum,Heliotropium chenopodiaceum,Heliotropium chenopodiaceum,Heliotropium chenopodiaceum,Heliotropium,sin_cambio,alta,Sin observaciones
H19,H19,Heliotropium filifolium,Heliotropium filifolium,Heliotropium filifolium,Heliotropium filifolium,Heliotropium,sin_cambio,alta,Sin observaciones
Hl,Hl,Heliotropium floridum,Heliotropium floridum,Heliotropium floridum,Heliotropium floridum,Heliotropium,sin_cambio,alta,Sin observaciones
H16,H16,Heliotropium huascoense,Heliotropium huascoense,Heliotropium huascoense,Heliotropium huascoense,Heliotropium,sin_cambio,alta,Sin observaciones
H15,H15,Heliotropium inconspicuum,Heliotropium inconspicuum,Heliotropium inconspicuum,Heliotropium inconspicuum,Heliotropium,sin_cambio,alta,Sin observaciones
H17,H17,Heliotropium linariifolium,Heliotropium linariifolium,Heliotropium linariifolium,Heliotropium linariifolium,Heliotropium,sin_cambio,alta,Sin observaciones
Hm,Hm,Heliotropium myosotifolium,Heliotropium myosotifolium,Heliotropium myosotifolium,Heliotropium myosotifolium,Heliotropium,sin_cambio,alta,Sin observaciones
Hp,Hp,Heliotropium pycnophyllum,Heliotropium pycnophyllum,Heliotropium pycnophyllum,Heliotropium pycnophyllum,Heliotropium,sin_cambio,alta,Sin observaciones
He,He,Heliotropium sinuatum,Heliotropium sinuatum,Heliotropium sinuatum,Heliotropium sinuatum,Heliotropium,sin_cambio,alta,Sin observaciones
Hz,Hz,Heliotropium sp.,Heliotropium sp.,Heliotropium sp.,Heliotropium sp.,Heliotropium,sin_cambio,alta,Sin observaciones
hh,hh,Herniaria hirsuta,Herniaria hirsuta,Herniaria hirsuta,Herniaria hirsuta,Herniaria,sin_cambio,alta,Sin observaciones
h17,h17,Hieracium pilosella,Hieracium pilosella,Hieracium pilosella,Hieracium pilosella,Hieracium,sin_cambio,alta,Sin observaciones
h18,h18,Hieracium sp.,Hieracium sp.,Hieracium sp.,Hieracium sp.,Hieracium,sin_cambio,alta,Sin observaciones
ev,ev,hierba azul,hierba azul,Echium vulgare,Echium vulgare,Echium,sin_cambio,alta,Sin observaciones
Co,Co,hierba blanca,hierba blanca,Chuquiraga oppositifolia,Chuquiraga oppositifolia,Chuquiraga,sin_cambio,alta,Sin observaciones
Fc,Fc,hierba de la sal,hierba de la sal,Frankenia chilensis,Frankenia chilensis,Frankenia,sin_cambio,alta,Sin observaciones
hr,hr,hierba del chancho,hierba del chancho,Hypochaeris radicata,Hypochaeris radicata,Hypochaeris,sin_cambio,alta,Sin observaciones
pv,pv,hierba mora,hierba mora,Prunella vulgaris,Prunella vulgaris,Prunella,sin_cambio,alta,Sin observaciones
sd,sd,hierba zonza,hierba zonza,Senecio adenotrichius,Senecio adenotrichius,Senecio,sin_cambio,alta,Sin observaciones
hñ,hñ,Hierochloe redolens,Hierochloe redolens,Hierochloe redolens,Hierochloe redolens,Hierochloe,sin_cambio,alta,Sin observaciones
h15,h15,Hoffmannseggia eremophila,Hoffmannseggia eremophila,Hoffmannseggia eremophila,Hoffmannseggia eremophila,Hoffmannseggia,sin_cambio,alta,Sin observaciones
hj,hj,Homalocarpus nigripetalus,Homalocarpus nigripetalus,Homalocarpus nigripetalus,Homalocarpus nigripetalus,Homalocarpus,sin_cambio,alta,Sin observaciones
hc,hc,Hordeum chilense,Hordeum chilense,Hordeum chilense,Hordeum chilense,Hordeum,sin_cambio,alta,Sin observaciones
hs,hs,Hordeum comosum,Hordeum comosum,Hordeum comosum,Hordeum comosum,Hordeum,sin_cambio,alta,Sin observaciones
hi,hi,Hordeum murinum,Hordeum murinum,Hordeum murinum,Hordeum murinum,Hordeum,sin_cambio,alta,Sin observaciones
h3,h3,Hordeum pubiflorum,Hordeum pubiflorum,Hordeum pubiflorum,Hordeum pubiflorum,Hordeum,sin_cambio,alta,Sin observaciones
h20,h20,Hordeum pubiflorum,Hordeum pubiflorum,Hordeum pubiflorum,Hordeum pubiflorum,Hordeum,sin_cambio,alta,Sin observaciones
hx,hx,Hordeum sp.,Hordeum sp.,Hordeum sp.,Hordeum sp.,Hordeum,sin_cambio,alta,Sin observaciones
h13,h13,Hordeum vulgare,Hordeum vulgare,Hordeum vulgare,Hordeum vulgare,Hordeum,sin_cambio,alta,Sin observaciones
Ta,Ta,horizonte,horizonte,Tetraglochin alatum,Tetraglochin alatum,Tetraglochin,sin_cambio,alta,Sin observaciones
NG,NG,hualo,hualo,Nothofagus glauca,Nothofagus glauca,Nothofagus,sin_cambio,alta,Sin observaciones
my,my,hualputra,hualputra,Medicago polymorpha,Medicago polymorpha,Medicago,sin_cambio,alta,Sin observaciones
Pc,Pc,huañil,huañil,Proustia cuneifolia,Proustia cuneifolia,Proustia,sin_cambio,alta,Sin observaciones
Yl,Yl,Huarango,Huarango,Acacia macracantha,Acacia macracantha,Acacia,sin_cambio,alta,Sin observaciones
Cv,Cv,huella,huella,Corynabutilon vitifolium,Corynabutilon vitifolium,Corynabutilon,sin_cambio,alta,Sin observaciones
h4,h4,Huidobria chilensis,Huidobria chilensis,Huidobria chilensis,Huidobria chilensis,Huidobria,sin_cambio,alta,Sin observaciones
H14,H14,Huidobria fruticosa,Huidobria fruticosa,Huidobria fruticosa,Huidobria fruticosa,Huidobria,sin_cambio,alta,Sin observaciones
SP,SP,huingán,huingán,Schinus polygamus,Schinus polygamus,Schinus,sin_cambio,alta,Sin observaciones
h16,h16,Hydrocotyle sp.,Hydrocotyle sp.,Hydrocotyle sp.,Hydrocotyle sp.,Hydrocotyle,sin_cambio,alta,Sin observaciones
h22,h22,Hymenophyllum pectinatum,Hymenophyllum pectinatum,Hymenophyllum pectinatum,Hymenophyllum pectinatum,Hymenophyllum,sin_cambio,alta,Sin observaciones
h24,h24,Hymenophyllum tortuosum,Hymenophyllum tortuosum,Hymenophyllum tortuosum,Hymenophyllum tortuosum,Hymenophyllum,sin_cambio,alta,Sin observaciones
h31,h31,Hypochaeris sp.,Hypochaeris sp.,Hypochaeris sp.,Hypochaeris sp.,Hypochaeris,sin_cambio,alta,Sin observaciones
Ft,Ft,incienso,incienso,Flourensia thurifera,Flourensia thurifera,Flourensia,sin_cambio,alta,Sin observaciones
i10,i10,Isolepis cernua,Isolepis cernua,Isolepis cernua,Isolepis cernua,Isolepis,sin_cambio,alta,Sin observaciones
i12,i12,Isolepis sp.,Isolepis sp.,Isolepis sp.,Isolepis sp.,Isolepis,sin_cambio,alta,Sin observaciones
j2,j2,Jamesoniella sp.,Jamesoniella sp.,Jamesoniella sp.,Jamesoniella sp.,Jamesoniella,sin_cambio,alta,Sin observaciones
ju,ju,junco,junco,Juncus sp.,Juncus sp.,Juncus,sin_cambio,alta,Sin observaciones
jn,jn,Juncus acutus,Juncus acutus,Juncus acutus,Juncus acutus,Juncus,sin_cambio,alta,Sin observaciones
jb,jb,Juncus balticus,Juncus balticus,Juncus balticus,Juncus balticus,Juncus,sin_cambio,alta,Sin observaciones
jd,jd,Juncus dichotomus,Juncus dichotomus,Juncus dichotomus,Juncus dichotomus,Juncus,sin_cambio,alta,Sin observaciones
je1,je1,Juncus effusus,Juncus effusus,Juncus effusus,Juncus effusus,Juncus,sin_cambio,alta,Sin observaciones
ji1,ji1,Juncus involucratus,Juncus involucratus,Juncus involucratus,Juncus involucratus,Juncus,sin_cambio,alta,Sin observaciones
jp,jp,Juncus procerus,Juncus procerus,Juncus procerus,Juncus procerus,Juncus,sin_cambio,alta,Sin observaciones
zu,zu,Juncus stipulatus,Juncus stipulatus,Juncus stipulatus,Juncus stipulatus,Juncus,sin_cambio,alta,Sin observaciones
J1,J1,Junellia aretioides,Junellia aretioides,Junellia aretioides,Junellia aretioides,Junellia,sin_cambio,alta,Sin observaciones
Jb,Jb,Junellia bryoides,Junellia bryoides,Junellia bryoides,Junellia bryoides,Junellia,sin_cambio,alta,Sin observaciones
J7,J7,Junellia hystrix,Junellia hystrix,Junellia hystrix,Junellia hystrix,Junellia,sin_cambio,alta,Sin observaciones
Jv,Jv,Junellia lavandulaefolia,Junellia lavandulaefolia,Junellia lavandulaefolia,Junellia lavandulaefolia,Junellia,sin_cambio,alta,Sin observaciones
J5,J5,Junellia pappigera,Junellia pappigera,Junellia pappigera,Junellia pappigera,Junellia,sin_cambio,alta,Sin observaciones
Yw,Yw,Junellia selaginoides,Junellia selaginoides,Junellia selaginoides,Junellia selaginoides,Junellia,sin_cambio,alta,Sin observaciones
Js,Js,Junellia spathulata,Junellia spathulata,Junellia spathulata,Junellia spathulata,Junellia,sin_cambio,alta,Sin observaciones
M1,M1,Junellia tridens,Junellia tridens,Junellia tridens,Junellia tridens,Junellia,sin_cambio,alta,Sin observaciones
Fb,Fb,koa,koa,Fabiana bryoides,Fabiana bryoides,Fabiana,sin_cambio,alta,Sin observaciones
Sz,Sz,Kopa de condor,Kopa de condor,Senecio pappii,Senecio pappii,Senecio,sin_cambio,alta,Sin observaciones
S12,S12,Koya blanca,Koya blanca,Senecio olivaceobracteatus,Senecio olivaceobracteatus,Senecio,sin_cambio,alta,Sin observaciones
l12,l12,Lachemilla sp.,Lachemilla sp.,Lachemilla sp.,Lachemilla sp.,Lachemilla,sin_cambio,alta,Sin observaciones
lv,lv,Lactuca virosa,Lactuca virosa,Lactuca virosa,Lactuca virosa,Lactuca,sin_cambio,alta,Sin observaciones
Lm,Lm,Lampaya,Lampaya,Lampaya medicinalis,Lampaya medicinalis,Lampaya,sin_cambio,alta,Sin observaciones
l1,l1,Lasthenia kunthii,Lasthenia kunthii,Lasthenia kunthii,Lasthenia kunthii,Lasthenia,sin_cambio,alta,Sin observaciones
lx,lx,Lathyrus sp.,Lathyrus sp.,Lathyrus sp.,Lathyrus sp.,Lathyrus,sin_cambio,alta,Sin observaciones
Sl,Sl,laura,laura,Schinus marchandii,Schinus marchandii,Schinus,sin_cambio,alta,Sin observaciones
LS,LS,laurel,laurel,Laurelia sempervirens,Laurelia sempervirens,Laurelia,sin_cambio,alta,Sin observaciones
L14,L14,Lebetanthus myrsinites,Lebetanthus myrsinites,Lebetanthus myrsinites,Lebetanthus myrsinites,Lebetanthus,sin_cambio,alta,Sin observaciones
El,El,lechero,lechero,Euphorbia lactiflua,Euphorbia lactiflua,Euphorbia,sin_cambio,alta,Sin observaciones
Bj,Bj,Lejía,Lejía,Baccharis tola,Baccharis tola,Baccharis,sin_cambio,alta,Sin observaciones
MM,MM,leñadura,leñadura,Maytenus magellanica,Maytenus magellanica,Maytenus,sin_cambio,alta,Sin observaciones
NP,NP,lenga,lenga,Nothofagus pumilio,Nothofagus pumilio,Nothofagus,sin_cambio,alta,Sin observaciones
PD,PD,lenga,lenga,Pinus ponderosa,Pinus ponderosa,Pinus,sin_cambio,alta,Sin observaciones
px,px,lengua de gallina,lengua de gallina,Pleurophora pungens,Pleurophora pungens,Pleurophora,sin_cambio,alta,Sin observaciones
oB,oB,leoncillo,leoncillo,Opuntia sphaerica,Opuntia sphaerica,Opuntia,sin_cambio,alta,Sin observaciones
l13,l13,Leontodon saxatilis,Leontodon saxatilis,Leontodon saxatilis,Leontodon saxatilis,Leontodon,sin_cambio,alta,Sin observaciones
lj,lj,Lepidium angustissimum,Lepidium angustissimum,Lepidium angustissimum,Lepidium angustissimum,Lepidium,sin_cambio,alta,Sin observaciones
ld1,ld1,Lepidium draba,Lepidium draba,Lepidium draba,Lepidium draba,Lepidium,sin_cambio,alta,Sin observaciones
li,li,Lepidium sp.,Lepidium sp.,Lepidium sp.,Lepidium sp.,Lepidium,sin_cambio,alta,Sin observaciones
l15,l15,Lepidium strictum,Lepidium strictum,Lepidium strictum,Lepidium strictum,Lepidium,sin_cambio,alta,Sin observaciones
Lc,Lc,Lepidophyllum cupressiforme,Lepidophyllum cupressiforme,Lepidophyllum cupressiforme,Lepidophyllum cupressiforme,Lepidophyllum,sin_cambio,alta,Sin observaciones
l22,l22,Leucanthemum vulgare,Leucanthemum vulgare,Leucanthemum vulgare,Leucanthemum vulgare,Leucanthemum,sin_cambio,alta,Sin observaciones
yñ,yñ,Leucheria menana,Leucheria menana,Leucheria menana,Leucheria menana,Leucheria,sin_cambio,alta,Sin observaciones
l25,l25,Leymus arenarius,Leymus arenarius,Leymus arenarius,Leymus arenarius,Leymus,sin_cambio,alta,Sin observaciones
l16,l16,Lilaeopsis macloviana,Lilaeopsis macloviana,Lilaeopsis macloviana,Lilaeopsis macloviana,Lilaeopsis,sin_cambio,alta,Sin observaciones
LI,LI,lilén,lilén,Azara celastrina,Azara celastrina,Azara,sin_cambio,alta,Sin observaciones
AI,AI,lilén,lilén,Azara petiolaris,Azara petiolaris,Azara,sin_cambio,alta,Sin observaciones
PL,PL,lingue,lingue,Persea lingue,Persea lingue,Persea,sin_cambio,alta,Sin observaciones
PM,PM,lingue del norte,lingue del norte,Persea meyeniana,Persea meyeniana,Persea,sin_cambio,alta,Sin observaciones
LC,LC,litre,litre,Lithraea caustica,Lithraea caustica,Lithraea,sin_cambio,alta,Sin observaciones
Sp,Sp,litrecillo,litrecillo,Schinus montanus,Schinus montanus,Schinus,sin_cambio,alta,Sin observaciones
Ll,Ll,Llareta,Llareta,Azorella compacta,Azorella compacta,Azorella,sin_cambio,alta,Sin observaciones
Zm,Zm,llareta,llareta,Azorella madreporica,Azorella madreporica,Azorella,sin_cambio,alta,Sin observaciones
p21,p21,Llaretilla,Llaretilla,Pycnophyllum bryoides,Pycnophyllum bryoides,Pycnophyllum,sin_cambio,alta,Sin observaciones
Fk,Fk,llaretilla,llaretilla,Frankenia triandra,Frankenia triandra,Frankenia,sin_cambio,alta,Sin observaciones
La,La,llaretilla,llaretilla,Laretia acaulis,Laretia acaulis,Laretia,sin_cambio,alta,Sin observaciones
p23,p23,Llaretilla,Llaretilla,Pycnophyllum molle,Pycnophyllum molle,Pycnophyllum,sin_cambio,alta,Sin observaciones
PA,PA,lleuque,lleuque,Prumnopitys andina,Prumnopitys andina,Prumnopitys,sin_cambio,alta,Sin observaciones
lp2,lp2,Loasa placei,Loasa placei,Loasa placei,Loasa placei,Loasa,sin_cambio,alta,Sin observaciones
l18,l18,Lobelia oligophylla,Lobelia oligophylla,Lobelia oligophylla,Lobelia oligophylla,Lobelia,sin_cambio,alta,Sin observaciones
l19,l19,Lolium multiflorum,Lolium multiflorum,Lolium multiflorum,Lolium multiflorum,Lolium,sin_cambio,alta,Sin observaciones
lr1,lr1,Lolium rigidum,Lolium rigidum,Lolium rigidum,Lolium rigidum,Lolium,sin_cambio,alta,Sin observaciones
lr,lr,Lophochloa cristata,Lophochloa cristata,Lophochloa cristata,Lophochloa cristata,Lophochloa,sin_cambio,alta,Sin observaciones
l20,l20,Lotus subpinnatus,Lotus subpinnatus,Lotus subpinnatus,Lotus subpinnatus,Lotus,sin_cambio,alta,Sin observaciones
AL,AL,luma,luma,Amomyrtus luma,Amomyrtus luma,Amomyrtus,sin_cambio,alta,Sin observaciones
EM,EM,lun,lun,Escallonia myrtoidea,Escallonia myrtoidea,Escallonia,sin_cambio,alta,Sin observaciones
lp,lp,lupino,lupino,Lupinus luteus,Lupinus luteus,Lupinus,sin_cambio,alta,Sin observaciones
L12,L12,Lupinus arboreus,Lupinus arboreus,Lupinus arboreus,Lupinus arboreus,Lupinus,sin_cambio,alta,Sin observaciones
lo,lo,Lupinus microcarpus,Lupinus microcarpus,Lupinus microcarpus,Lupinus microcarpus,Lupinus,sin_cambio,alta,Sin observaciones
L13,L13,Lupinus sp.,Lupinus sp.,Lupinus sp.,Lupinus sp.,Lupinus,sin_cambio,alta,Sin observaciones
l23,l23,Luzuriaga marginata,Luzuriaga marginata,Luzuriaga marginata,Luzuriaga marginata,Luzuriaga,sin_cambio,alta,Sin observaciones
Lh,Lh,Lycium chilense,Lycium chilense,Lycium chilense,Lycium chilense,Lycium,sin_cambio,alta,Sin observaciones
l28,l28,Lycium humile,Lycium humile,Lycium humile,Lycium humile,Lycium,sin_cambio,alta,Sin observaciones
L15,L15,Lycium leiostemum,Lycium leiostemum,Lycium leiostemum,Lycium leiostemum,Lycium,sin_cambio,alta,Sin observaciones
Lr1,Lr1,Lycium rachidocladum,Lycium rachidocladum,Lycium rachidocladum,Lycium rachidocladum,Lycium,sin_cambio,alta,Sin observaciones
Yy,Yy,Lycium stenophyllum,Lycium stenophyllum,Lycium stenophyllum,Lycium stenophyllum,Lycium,sin_cambio,alta,Sin observaciones
Ly,Ly,Lycopersicon chilense,Lycopersicon chilense,Lycopersicon chilense,Lycopersicon chilense,Lycopersicon,sin_cambio,alta,Sin observaciones
ms2,ms2,Madia sativa,Madia sativa,Madia sativa,Madia sativa,Madia,sin_cambio,alta,Sin observaciones
mf,mf,"madi, melosa","madi, melosa",Madia chilensis,Madia chilensis,Madia,sin_cambio,alta,Sin observaciones
EP,EP,madroño,madroño,Escallonia pulverulenta,Escallonia pulverulenta,Escallonia,sin_cambio,alta,Sin observaciones
ER,ER,madroño,madroño,Escallonia revoluta,Escallonia revoluta,Escallonia,sin_cambio,alta,Sin observaciones
mC1,mC1,Maihueniopsis camachoi,Maihueniopsis camachoi,Maihueniopsis camachoi,Maihueniopsis camachoi,Maihueniopsis,sin_cambio,alta,Sin observaciones
mC2,mC2,Maihueniopsis conoidea,Maihueniopsis conoidea,Maihueniopsis conoidea,Maihueniopsis conoidea,Maihueniopsis,sin_cambio,alta,Sin observaciones
MB,MB,maitén,maitén,Maytenus boaria,Maytenus boaria,Maytenus,sin_cambio,alta,Sin observaciones
Md,Md,maitén chico,maitén chico,Maytenus disticha,Maytenus disticha,Maytenus,sin_cambio,alta,Sin observaciones
zm,zm,Maíz,Maíz,Zea mays,Zea mays,Zea,sin_cambio,alta,Sin observaciones
t11,t11,Malva,Malva,Tarasa operculata,Tarasa operculata,Tarasa,sin_cambio,alta,Sin observaciones
ms,ms,Malva nicaeensis,Malva nicaeensis,Malva nicaeensis,Malva nicaeensis,Malva,sin_cambio,alta,Sin observaciones
m24,m24,Malva sp.,Malva sp.,Malva sp.,Malva sp.,Malva,sin_cambio,alta,Sin observaciones
ñm,ñm,malvavisco,malvavisco,Sphaeralcea obtusiloba,Sphaeralcea obtusiloba,Sphaeralcea,sin_cambio,alta,Sin observaciones
cm,cm,malvilla,malvilla,Cristaria sp.,Cristaria sp.,Cristaria,sin_cambio,alta,Sin observaciones
Xp,Xp,malvilla,malvilla,Cristaria pinnata,Cristaria pinnata,Cristaria,sin_cambio,alta,Sin observaciones
SC,SC,mañio de hojas cortas,mañio de hojas cortas,Saxegothaea conspicua,Saxegothaea conspicua,Saxegothaea,sin_cambio,alta,Sin observaciones
PS,PS,mañio de hojas largas,mañio de hojas largas,Podocarpus salignus,Podocarpus salignus,Podocarpus,sin_cambio,alta,Sin observaciones
PN,PN,mañio de hojas punzantes,mañio de hojas punzantes,Podocarpus nubigenus,Podocarpus nubigenus,Podocarpus,sin_cambio,alta,Sin observaciones
ma,ma,manzanilla del campo,manzanilla del campo,Helenium aromaticum,Helenium aromaticum,Helenium,sin_cambio,alta,Sin observaciones
Mq,Mq,maqui,maqui,Aristotelia chilensis,Aristotelia chilensis,Aristotelia,sin_cambio,alta,Sin observaciones
oi,oi,mariposa del campo,mariposa del campo,Alstroemeria pelegrina,Alstroemeria pelegrina,Alstroemeria,sin_cambio,alta,Sin observaciones
mg,mg,Marsippospermum grandiflorum,Marsippospermum grandiflorum,Marsippospermum grandiflorum,Marsippospermum grandiflorum,Marsippospermum,sin_cambio,alta,Sin observaciones
mr1,mr1,Marsippospermum reichei,Marsippospermum reichei,Marsippospermum reichei,Marsippospermum reichei,Marsippospermum,sin_cambio,alta,Sin observaciones
Ms,Ms,"mata barrosa, neneo, panza de burro","mata barrosa, neneo, panza de burro",Azorella prolifera,Azorella prolifera,Azorella,sin_cambio,alta,Sin observaciones
Ev,Ev,mata negra,mata negra,Escallonia virgata,Escallonia virgata,Escallonia,sin_cambio,alta,Sin observaciones
Cd,Cd,mata verde,mata verde,Chiliotrichum diffusum,Chiliotrichum diffusum,Chiliotrichum,sin_cambio,alta,Sin observaciones
Sm,Sm,mayo,mayo,Sophora macrocarpa,Sophora macrocarpa,Sophora,sin_cambio,alta,Sin observaciones
AM,AM,meli,meli,Amomyrtus meli,Amomyrtus meli,Amomyrtus,sin_cambio,alta,Sin observaciones
m16,m16,Mesembryanthemum crystallinum,Mesembryanthemum crystallinum,Mesembryanthemum crystallinum,Mesembryanthemum crystallinum,Mesembryanthemum,sin_cambio,alta,Sin observaciones
m17,m17,Mesembryanthemum nodiflorum,Mesembryanthemum nodiflorum,Mesembryanthemum nodiflorum,Mesembryanthemum nodiflorum,Mesembryanthemum,sin_cambio,alta,Sin observaciones
B7,B7,michay,michay,Berberis actinacantha,Berberis actinacantha,Berberis,sin_cambio,alta,Sin observaciones
Bw,Bw,michay,michay,Berberis darwinii,Berberis darwinii,Berberis,sin_cambio,alta,Sin observaciones
Bc,Bc,michay,michay,Berberis pearcei,Berberis pearcei,Berberis,sin_cambio,alta,Sin observaciones
Ee,Ee,michay,michay,Berberis serratodentata,Berberis serratodentata,Berberis,sin_cambio,alta,Sin observaciones
m25,m25,Microphyes litoralis,Microphyes litoralis,Microphyes litoralis,Microphyes litoralis,Microphyes,sin_cambio,alta,Sin observaciones
Gf,Gf,mira mira,mira mira,Gochnatia fascicularis,Gochnatia fascicularis,Gochnatia,sin_cambio,alta,Sin observaciones
SL,SL,molle,molle,Schinus latifolius,Schinus latifolius,Schinus,sin_cambio,alta,Sin observaciones
mt,mt,Montiopsis trifida,Montiopsis trifida,Montiopsis trifida,Montiopsis trifida,Montiopsis,sin_cambio,alta,Sin observaciones
rr,rr,mostacilla,mostacilla,Rapistrum rugosum,Rapistrum rugosum,Rapistrum,sin_cambio,alta,Sin observaciones
hk,hk,mostaza yuyo,mostaza yuyo,Hirschfeldia incana,Hirschfeldia incana,Hirschfeldia,sin_cambio,alta,Sin observaciones
m22,m22,Muhlenbergia peruviana,Muhlenbergia peruviana,Muhlenbergia peruviana,Muhlenbergia peruviana,Muhlenbergia,sin_cambio,alta,Sin observaciones
M12,M12,Mulguraea arequipensis,Mulguraea arequipensis,Mulguraea arequipensis,Mulguraea arequipensis,Mulguraea,sin_cambio,alta,Sin observaciones
Ub,Ub,murta blanca,murta blanca,Ugni candollei,Ugni candollei,Ugni,sin_cambio,alta,Sin observaciones
Er,Er,murtilla,murtilla,Empetrum rubrum,Empetrum rubrum,Empetrum,sin_cambio,alta,Sin observaciones
Um,Um,murtilla,murtilla,Ugni molinae,Ugni molinae,Ugni,sin_cambio,alta,Sin observaciones
Xi,Xi,Myrcianthes coquimbensis,Myrcianthes coquimbensis,Myrcianthes coquimbensis,Myrcianthes coquimbensis,Myrcianthes,sin_cambio,alta,Sin observaciones
mq,mq,Myriophyllum aquaticum,Myriophyllum aquaticum,Myriophyllum aquaticum,Myriophyllum aquaticum,Myriophyllum,sin_cambio,alta,Sin observaciones
